x,y,code,name
7.948446,2.2486687,B01F11,Placeholder
11.880776,8.384679,H03M3,Placeholder
7.7223706,7.2567997,G01T1,Placeholder
10.3770275,4.081373,A44B11,Placeholder
10.062344,6.9468617,G09B21,Placeholder
11.158353,4.8426156,B64C13,Placeholder
10.300458,1.2034214,F16N29,Placeholder
5.6332436,3.2522755,B24B37,Placeholder
7.5290384,0.47345242,A21B1,Placeholder
10.840397,8.560688,H04M15,Placeholder
11.070694,1.9205159,F03B17,Placeholder
9.302165,6.7179136,H04R9,Placeholder
6.396844,3.7429733,B65G49,Placeholder
12.800594,6.476137,H01H73,Placeholder
1.9169586,3.7044458,C01B15,Placeholder
10.585956,4.8206644,A47C3,Placeholder
10.711537,7.310295,G07F7,Placeholder
10.964162,8.45141,H04W4,Placeholder
8.420161,3.6075115,B65D43,Placeholder
11.154889,2.1605854,B64D27,Placeholder
10.966513,8.872176,H04W80,Placeholder
4.6632414,6.1180553,A01G22,Placeholder
7.4017577,4.5531974,B41J11,Placeholder
3.341894,2.9755561,C08L51,Placeholder
8.212434,2.6409967,A47J42,Placeholder
7.4903955,8.857653,F21V19,Placeholder
6.154763,4.207289,E01C13,Placeholder
8.37092,7.2768497,G01N21,Placeholder
10.795585,7.154291,G06K7,Placeholder
9.574995,6.274071,A61H31,Placeholder
7.6208615,0.7460141,A45D1,Placeholder
4.4715195,3.8615317,C08H8,Placeholder
2.264439,5.359906,C07K1,Placeholder
11.230086,4.642575,B60P1,Placeholder
9.472567,0.8340387,B64C21,Placeholder
7.3879333,4.562134,B41J29,Placeholder
13.586518,6.631665,H01L43,Placeholder
12.878928,1.0455042,A43B5,Placeholder
12.232269,7.577225,G01R21,Placeholder
8.054581,5.624607,A61C3,Placeholder
7.9737463,0.270362,F23D14,Placeholder
6.1835294,0.42364234,B01D1,Placeholder
12.340661,2.9324224,F16D65,Placeholder
1.7007657,5.5167866,A61K38,Placeholder
9.119401,2.7098582,B23D61,Placeholder
4.777506,3.8900414,D21H11,Placeholder
5.6933446,0.7265006,C01C1,Placeholder
9.196779,2.704348,B23C3,Placeholder
1.8832595,5.799222,C07K19,Placeholder
9.876761,-0.14127353,F02D41,Placeholder
11.880144,8.39646,H03D7,Placeholder
1.4685677,5.227724,A61P19,Placeholder
3.5104628,4.17509,C11D11,Placeholder
12.647187,6.5150447,H01H37,Placeholder
8.838729,2.5731115,B23G5,Placeholder
12.097731,3.7107944,B62M25,Placeholder
11.062307,7.114065,G08B27,Placeholder
13.85344,5.9744854,H02K16,Placeholder
9.301273,6.7126603,H04R7,Placeholder
8.059229,5.6431694,A61C8,Placeholder
6.00934,0.49581194,C10J3,Placeholder
10.880292,3.026728,F03D13,Placeholder
0.91106796,4.836663,C07D471,Placeholder
7.8818235,4.6083946,B65H3,Placeholder
0.9120704,4.8528657,C07D487,Placeholder
4.1830983,3.3094203,C09J5,Placeholder
3.6762931,3.365284,C08L75,Placeholder
1.3754679,4.5933933,C07D211,Placeholder
8.54761,2.95287,C03B33,Placeholder
11.339697,3.5649667,F16F7,Placeholder
10.520348,1.7446723,F16J9,Placeholder
13.193103,4.192772,E05B63,Placeholder
7.2792764,-1.0188743,F28F7,Placeholder
6.5900574,1.4020492,B01D63,Placeholder
1.4854312,4.6594114,C07D233,Placeholder
11.033963,7.0450773,G08B3,Placeholder
10.134632,6.2786508,G01H1,Placeholder
10.109622,6.528327,G01V1,Placeholder
8.763921,7.697818,G03B35,Placeholder
10.355592,2.669083,E21D9,Placeholder
6.132819,2.9823248,C03B37,Placeholder
11.065516,8.948308,H04W28,Placeholder
9.879715,3.7194164,E02D29,Placeholder
6.6364903,3.556602,B29K105,Placeholder
6.177376,3.1921678,B29B9,Placeholder
7.547672,8.76196,F21V11,Placeholder
8.570919,5.7694964,A61M27,Placeholder
9.973735,7.1172695,G16H10,Placeholder
12.844975,1.0772071,A43B1,Placeholder
12.63784,6.1353602,H01R4,Placeholder
7.246843,3.4021566,B29L31,Placeholder
9.902732,-0.18797317,F02D13,Placeholder
6.626488,1.5220302,C21C5,Placeholder
3.664587,3.3613887,C08L63,Placeholder
4.7751102,3.91497,D21C9,Placeholder
6.116825,1.8670133,G21G1,Placeholder
9.493275,6.75058,G01N29,Placeholder
5.217064,2.820305,C04B111,Placeholder
8.853868,3.2448413,B21D43,Placeholder
7.9125276,1.7401197,B05B17,Placeholder
4.8221927,3.8620462,D21H17,Placeholder
8.91762,5.5090027,A62B7,Placeholder
2.325423,1.1992501,C10M169,Placeholder
10.326402,8.378657,H03G9,Placeholder
12.752706,6.066578,H01R39,Placeholder
3.315625,5.2950625,A23F5,Placeholder
3.4139104,3.5792415,C08L83,Placeholder
6.1340294,1.6692965,G21F9,Placeholder
8.076613,7.225062,H01L31,Placeholder
2.3345244,1.1905005,C10M133,Placeholder
4.8434,0.9755565,C01B39,Placeholder
4.1553288,3.1844463,C08K13,Placeholder
6.2145247,4.8107595,D03D11,Placeholder
6.2180047,1.1864904,C02F1,Placeholder
8.500995,7.4404793,B24B13,Placeholder
10.844608,2.4285545,B64D29,Placeholder
10.113314,6.5622764,G04G21,Placeholder
12.048592,4.7857213,A01D34,Placeholder
6.0884485,1.4445219,B01D71,Placeholder
3.0914605,2.8204591,C08C19,Placeholder
10.748334,1.9395128,F03G7,Placeholder
1.6643722,5.453561,A61P7,Placeholder
10.344306,0.85508406,F04B39,Placeholder
10.22071,3.5399363,F16B1,Placeholder
8.494597,-0.41445807,F01P3,Placeholder
7.5034747,8.849492,F21V33,Placeholder
7.130195,2.2372837,F16L59,Placeholder
7.6897235,1.6213648,B01F1,Placeholder
11.925473,3.0001056,F16H37,Placeholder
10.521243,0.69739115,F01L1,Placeholder
3.9649603,4.5419436,A61L31,Placeholder
12.036871,8.360888,H03F1,Placeholder
10.191644,3.81909,E04G21,Placeholder
6.979036,3.6608179,A63B41,Placeholder
9.585114,3.9443974,B32B13,Placeholder
7.431324,0.40653574,H05B6,Placeholder
9.518079,0.49113324,F02C6,Placeholder
11.620717,3.8669183,B60K5,Placeholder
6.143356,4.3837013,D21F1,Placeholder
8.310981,2.1031969,A47L13,Placeholder
8.361371,-0.25027594,B60H1,Placeholder
3.5987756,3.4162617,C09K3,Placeholder
8.671865,6.094659,A61B18,Placeholder
9.883885,-0.18256158,F02D15,Placeholder
7.7350426,7.288499,G01T7,Placeholder
11.234114,4.5000067,B66F3,Placeholder
4.6730356,1.5167388,C25B3,Placeholder
9.477075,0.7621521,F01D9,Placeholder
