x,y,code,name,name_full
13.250135,2.6640775,G03B3,Focusing arrangements of general interest for c...,"Focusing arrangements of general interest for cameras, projectors or printers [1,2006.01,2021.01]"
8.25137,7.2582216,F02C7,"Features, component parts, details or accessori...","Features, component parts, details or accessories, notprovided for in, or of interest apart from, groups F02C"
9.964604,4.3368597,A47C20,"Head-, foot- or like rests for beds, sofas or t...","Head-, foot- or like rests for beds, sofas or the like  (book-rests or bed tables A47B"
3.4570432,1.7199035,C09D163,Coating compositions based on epoxy resins; Coa...,"Coating compositions based on epoxy resins; Coatingcompositions based on derivatives of epoxy resins[5,2006.01]"
6.8992386,7.218993,B61D27,"Heating, cooling, ventilating, or air-condition...","Heating, cooling, ventilating, or air-conditioning[1,2006.01]"
2.9683976,2.25231,C09J163,Adhesives based on epoxy resins; Adhesives base...,"Adhesives based on epoxy resins; Adhesives based onderivatives of epoxy resins [5,2006.01]"
10.138466,7.1010947,B60B27,Hubs (non-metallic B60B,Hubs (non-metallic B60B
5.1376476,1.0985677,C01G49,"Compounds of iron[1,2006.01]","Compounds of iron[1,2006.01]"
12.785938,3.584611,G01V8,"Prospecting or detecting by optical means[6,200...","Prospecting or detecting by optical means[6,2006.01]Note(s)    [6]  This group covers the use of infrared, visible or ultraviolet light."
5.407031,-2.6487114,A23K20,Accessory food factors for animal feeding-stuff...,Accessory food factors for animal feeding-stuffs[2016.01]
7.227515,1.1728216,F26B25,Details of general application not covered by g...,Details of general application not covered by group F26B
7.425207,5.576675,H01R11,Individual connecting elements providing two or...,"Individual connecting elements providing two or more spaced connecting locations for conductive members which are, or may be, thereby interconnected, e.g. end pieces for wires or cables supported by the wire or cable and having means for facilitating electrical connection to some other wire, terminal, or conductive member, blocks of binding posts[1,3,2006.01]"
8.902345,6.14802,B64C7,Structures or fairings not otherwise provided f...,"Structures or fairings not otherwise provided for[1,2006.01]"
4.934959,1.2498999,H01B5,Non-insulated conductors or conductive bodies c...,"Non-insulated conductors or conductive bodies characterised by their form [1,2006.01]"
3.1358356,-2.7590013,C07C237,"Carboxylic acid amides, the carbon skeleton of ...","Carboxylic acid amides, the carbon skeleton of the acid part being further substituted by amino groups[5,2006.01]"
11.883891,5.580158,G01N3,Investigating strength properties of solid mate...,"Investigating strength properties of solid materials by application of mechanical stress [1,2006.01]IPC (2023.01), Section G 1G01NNote(s)This group covers the stressing of materials not only below but also beyond the elastic limit, e.g. until breaking occurs."
7.906843,8.34205,F02D35,"Non-electrical control of engines, dependent on...","Non-electrical control of engines, dependent on conditions exterior or interior to engines, not otherwise provided for[1,2006.01]"
7.8683143,4.9065948,E21B34,Valve arrangements for boreholes or wells  (in ...,Valve arrangements for boreholes or wells  (in drilling fluid circulation systems E21B
5.985849,7.9474397,F25B27,"Machines, plants or systems, using particular s...","Machines, plants or systems, using particular sourcesof energy (F25B"
9.203886,4.2692018,F25D23,General constructional features  (F25D,General constructional features  (F25D
6.5874248,1.4404849,F27D7,"Forming, maintaining, or circulating atmosphere...","Forming, maintaining, or circulating atmospheres in heating chambers[1,2006.01]"
9.469865,4.7196975,A45B23,"Other umbrellas[1,2006.01]","Other umbrellas[1,2006.01]"
5.5844226,1.4664433,C22C28,Alloys based on a metal not provided for in gro...,Alloys based on a metal not provided for in groups C22C
9.009544,5.4610696,E02B17,Artificial islands mounted on piles or like sup...,"Artificial islands mounted on piles or like supports, e.g. platforms on raisable legs; Construction methodstherefor (fenders E02B"
10.876672,6.8917837,B60T8,Arrangements for adjusting wheel-braking force ...,"Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions,e.g. limiting or varying distribution of braking force  (by changing number of effective brake cylinders in power brake systems B60T"
13.100748,7.5238843,H02H1,,
11.071982,1.1424322,A46B15,Other brushes; Brushes with additional arrangem...,"Other brushes; Brushes with additional arrangements[1,2006.01]"
9.310577,8.218685,B60T11,or B60T,or B60T
